S,994263,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994273,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994283,97.36,-292.79,19.43,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
S,994581,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994591,97.36,-292.79,19.44,0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994601,97.36,-292.79,19.44,0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994611,97.36,-292.79,19.44,0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994621,97.36,-292.79,19.46,0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994631,97.36,-292.79,19.44,0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994641,97.36,-292.79,19.46,0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994651,97.36,-292.79,19.46,0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994661,97.36,-292.79,19.43,0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994671,97.36,-292.79,19.43,0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994681,97.36,-292.79,19.44,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994691,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994701,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994711,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994721,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994731,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994741,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994751,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
S,994761,97.36,-292.79,19.46,-0,0,1,1,3,4431,0.0,0,0.00,1,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
