label,host_s,device_ms,single_deg,multi_deg,bus_v,legacy_current_ma,pwm_abs,nfault,awake,step,encoder_raw,velocity_dps,control_mode,legacy_target,phase,pwm_signed_legacy,pid_raw,pid_applied,stall_boost,settled,velocity_target_dps,current_target_ma,current_measured_ma,cascade_pwm
velocity_+3000,0.0005984000163152814,24098.0,4.33,0.0,19.38,-1.0,0.0,1.0,1.0,3.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
velocity_+3000,0.0028981000068597496,24180.0,4.33,0.0,19.4,-2.0,0.0,1.0,1.0,3.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
velocity_+3000,0.012432299990905449,24190.0,4.33,0.0,19.4,64.0,1.0,1.0,1.0,3.0,197.0,0.0,2.0,3000.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,50.0,64.0,1.8
velocity_+3000,0.02299759999732487,24201.0,4.46,0.13,19.38,215.0,10.0,1.0,1.0,3.0,203.0,3.9,2.0,3000.0,0.0,10.0,0.0,0.0,0.0,0.0,351.6,176.0,215.0,10.4
velocity_+3000,0.032769400015240535,24210.0,4.86,0.53,19.42,349.0,15.0,1.0,1.0,3.0,221.0,14.8,2.0,3000.0,0.0,15.0,0.0,0.0,0.0,0.0,564.3,282.0,349.0,15.3
velocity_+3000,0.04265710001345724,24220.0,5.52,1.19,19.37,358.0,71.0,1.0,1.0,3.0,251.0,30.0,2.0,3000.0,0.0,71.0,0.0,0.0,0.0,0.0,782.0,391.0,358.0,71.8
velocity_+3000,0.053325000015320256,24231.0,6.55,2.22,19.37,536.0,58.0,1.0,1.0,3.0,298.0,51.9,2.0,3000.0,0.0,58.0,0.0,0.0,0.0,0.0,997.0,498.0,536.0,58.9
velocity_+3000,0.06260770000517368,24240.0,7.05,2.72,19.37,610.0,58.0,1.0,1.0,3.0,321.0,59.0,2.0,3000.0,0.0,58.0,0.0,0.0,0.0,0.0,1107.0,554.0,610.0,58.2
velocity_+3000,0.07233850000193343,24250.0,7.8,3.47,19.38,803.0,47.0,1.0,1.0,3.0,355.0,58.1,2.0,3000.0,0.0,47.0,0.0,0.0,0.0,0.0,1358.9,679.0,803.0,48.0
velocity_+3000,0.08317729999544099,24261.0,7.87,3.54,19.42,929.0,53.0,1.0,1.0,3.0,358.0,40.8,2.0,3000.0,0.0,53.0,0.0,0.0,0.0,0.0,1575.5,788.0,929.0,53.7
velocity_+3000,0.09301489999052137,24271.0,7.91,3.58,19.38,980.0,90.0,1.0,1.0,3.0,360.0,28.9,2.0,3000.0,0.0,90.0,0.0,0.0,0.0,0.0,1792.2,896.0,980.0,90.3
velocity_+3000,0.10241429999587126,24280.0,8.06,3.74,19.38,1063.0,84.0,1.0,1.0,3.0,367.0,28.8,2.0,3000.0,0.0,84.0,0.0,0.0,0.0,0.0,1900.9,950.0,1063.0,84.2
velocity_+3000,0.11319110001204535,24291.0,8.88,4.55,19.38,1281.0,62.0,1.0,1.0,3.0,404.0,41.2,2.0,3000.0,0.0,62.0,0.0,0.0,0.0,0.0,2150.2,1075.0,1281.0,63.0
velocity_+3000,0.12301929999375716,24300.0,9.36,5.03,19.38,1388.0,77.0,1.0,1.0,3.0,426.0,41.7,2.0,3000.0,0.0,77.0,0.0,0.0,0.0,0.0,2368.6,1184.0,1388.0,77.5
velocity_+3000,0.1329771000018809,24310.0,9.78,5.45,19.35,1420.0,121.0,1.0,1.0,3.0,445.0,40.5,2.0,3000.0,0.0,121.0,0.0,0.0,0.0,0.0,2587.0,1294.0,1420.0,121.8
velocity_+3000,0.14383950000046752,24321.0,10.48,6.15,19.35,1565.0,119.0,1.0,1.0,3.0,477.0,49.0,2.0,3000.0,0.0,119.0,0.0,0.0,0.0,0.0,2804.3,1402.0,1565.0,120.0
velocity_+3000,0.15320339999743737,24331.0,10.94,6.61,19.35,1635.0,119.0,1.0,1.0,3.0,498.0,54.8,2.0,3000.0,0.0,119.0,0.0,0.0,0.0,0.0,2917.6,1459.0,1635.0,119.3
velocity_+3000,0.16301930000190623,24340.0,11.98,7.65,19.38,1823.0,110.0,1.0,1.0,3.0,545.0,63.5,2.0,3000.0,0.0,110.0,0.0,0.0,0.0,0.0,3000.0,1585.0,1823.0,110.1
velocity_+3000,0.17298189998837188,24350.0,12.83,8.5,19.36,1860.0,151.0,1.0,1.0,3.0,584.0,68.3,2.0,3000.0,0.0,151.0,0.0,0.0,0.0,0.0,3000.0,1695.0,1860.0,151.7
velocity_+3000,0.18253170000389218,24360.0,13.38,9.05,19.6,1934.0,145.0,1.0,1.0,3.0,609.0,73.7,2.0,3000.0,0.0,145.0,0.0,0.0,0.0,0.0,3000.0,1750.0,1934.0,145.5
velocity_+3000,0.19332210000720806,24371.0,15.71,11.38,19.36,2111.0,144.0,1.0,1.0,3.0,715.0,113.1,2.0,3000.0,0.0,144.0,0.0,0.0,0.0,0.0,3000.0,1877.0,2111.0,144.6
velocity_+3000,0.20315519999712706,24381.0,20.48,16.15,19.36,2166.0,184.0,1.0,1.0,3.0,932.0,224.6,2.0,3000.0,0.0,184.0,0.0,0.0,0.0,0.0,3000.0,1985.0,2166.0,184.3
velocity_+3000,0.21345710000605322,24391.0,33.6,29.27,19.36,1752.0,191.0,1.0,1.0,3.0,1529.0,543.0,2.0,3000.0,0.0,191.0,0.0,0.0,0.0,0.0,3000.0,1670.0,1752.0,191.5
velocity_+3000,0.2228354999970179,24400.0,43.79,39.46,19.36,1582.0,216.0,1.0,1.0,3.0,1993.0,762.3,2.0,3000.0,0.0,216.0,0.0,0.0,0.0,0.0,3000.0,1574.0,1582.0,216.6
velocity_+3000,0.2327264999912586,24410.0,67.7,63.37,19.37,1341.0,241.0,1.0,1.0,3.0,3081.0,1143.0,2.0,3000.0,0.0,241.0,0.0,0.0,0.0,0.0,3000.0,1408.0,1341.0,241.0
velocity_+3000,0.24341870000353083,24420.0,95.62,91.3,19.37,1143.0,216.0,1.0,1.0,3.0,4352.0,1603.4,2.0,3000.0,0.0,216.0,0.0,0.0,0.0,0.0,3000.0,1178.0,1143.0,216.7
velocity_+3000,0.2543380999995861,24431.0,128.12,123.79,19.37,933.0,203.0,1.0,1.0,3.0,5831.0,2049.3,2.0,3000.0,0.0,203.0,0.0,0.0,0.0,0.0,3000.0,960.0,933.0,203.4
velocity_+3000,0.26361110000289045,24441.0,144.6,140.27,19.37,834.0,209.0,1.0,1.0,3.0,6581.0,2212.7,2.0,3000.0,0.0,209.0,0.0,0.0,0.0,0.0,3000.0,883.0,834.0,209.9
velocity_+3000,0.2735390000161715,24450.0,180.62,176.29,19.38,689.0,229.0,1.0,1.0,3.0,8220.0,2409.5,2.0,3000.0,0.0,229.0,0.0,0.0,0.0,0.0,3000.0,793.0,689.0,229.4
velocity_+3000,0.2836834999907296,24460.0,210.32,205.99,19.38,697.0,209.0,1.0,1.0,3.0,9572.0,2500.9,2.0,3000.0,0.0,209.0,0.0,0.0,0.0,0.0,3000.0,753.0,697.0,209.8
velocity_+3000,0.2929391000070609,24470.0,226.36,222.03,19.38,656.0,217.0,1.0,1.0,3.0,10302.0,2551.7,2.0,3000.0,0.0,217.0,0.0,0.0,0.0,0.0,3000.0,730.0,656.0,217.3
velocity_+3000,0.30334270000457764,24481.0,263.98,259.65,19.38,561.0,224.0,1.0,1.0,3.0,12014.0,2701.3,2.0,3000.0,0.0,224.0,0.0,0.0,0.0,0.0,3000.0,659.0,561.0,224.5
velocity_+3000,0.31302130001131445,24490.0,300.1,295.77,19.38,564.0,182.0,1.0,1.0,3.0,13658.0,2886.7,2.0,3000.0,0.0,182.0,0.0,0.0,0.0,0.0,3000.0,569.0,564.0,182.5
velocity_+3000,0.32398250000551343,24501.0,333.81,329.48,19.38,528.0,185.0,1.0,1.0,3.0,15192.0,2942.8,2.0,3000.0,0.0,185.0,0.0,0.0,0.0,0.0,3000.0,541.0,528.0,186.0
velocity_+3000,0.333551499992609,24510.0,349.91,345.59,19.38,573.0,172.0,1.0,1.0,3.0,15925.0,2926.9,2.0,3000.0,0.0,172.0,0.0,0.0,0.0,0.0,3000.0,550.0,573.0,172.7
velocity_+3000,0.3430027000140399,24520.0,23.6,379.27,19.36,540.0,210.0,1.0,1.0,3.0,1074.0,2827.6,2.0,3000.0,0.0,210.0,0.0,0.0,0.0,0.0,3000.0,601.0,540.0,211.0
velocity_+3000,0.3530275000084657,24530.0,51.61,407.29,19.36,572.0,220.0,1.0,1.0,3.0,2349.0,2736.2,2.0,3000.0,0.0,220.0,0.0,0.0,0.0,0.0,3000.0,649.0,572.0,220.5
velocity_+3000,0.3638939000084065,24541.0,80.51,436.18,19.38,638.0,200.0,1.0,1.0,3.0,3664.0,2715.8,2.0,3000.0,0.0,200.0,0.0,0.0,0.0,0.0,3000.0,663.0,638.0,200.4
velocity_+3000,0.373305299988715,24551.0,96.28,451.96,19.38,650.0,195.0,1.0,1.0,3.0,4382.0,2722.1,2.0,3000.0,0.0,195.0,0.0,0.0,0.0,0.0,3000.0,661.0,650.0,195.8
velocity_+3000,0.38315229999716394,24561.0,133.55,489.22,19.38,566.0,216.0,1.0,1.0,3.0,6078.0,2789.7,2.0,3000.0,0.0,216.0,0.0,0.0,0.0,0.0,3000.0,630.0,566.0,216.6
velocity_+3000,0.39310799998929724,24570.0,164.73,520.4,19.38,544.0,221.0,1.0,1.0,3.0,7497.0,2810.8,2.0,3000.0,0.0,221.0,0.0,0.0,0.0,0.0,3000.0,622.0,544.0,221.7
velocity_+3000,0.40264590000151657,24580.0,179.38,535.06,19.38,607.0,206.0,1.0,1.0,3.0,8164.0,2773.0,2.0,3000.0,0.0,206.0,0.0,0.0,0.0,0.0,3000.0,642.0,607.0,206.1
velocity_+3000,0.41265220000059344,24590.0,211.9,567.58,19.38,720.0,179.0,1.0,1.0,3.0,9644.0,2702.9,2.0,3000.0,0.0,179.0,0.0,0.0,0.0,0.0,3000.0,680.0,720.0,179.0
velocity_+3000,0.4226543999975547,24600.0,240.89,596.56,19.38,730.0,185.0,1.0,1.0,3.0,10963.0,2667.4,2.0,3000.0,0.0,185.0,0.0,0.0,0.0,0.0,3000.0,702.0,730.0,185.6
velocity_+3000,0.4335760000103619,24611.0,273.47,629.14,19.38,625.0,205.0,1.0,1.0,3.0,12446.0,2773.5,2.0,3000.0,0.0,205.0,0.0,0.0,0.0,0.0,3000.0,652.0,625.0,205.5
velocity_+3000,0.4429289000108838,24620.0,291.49,647.16,19.38,592.0,204.0,1.0,1.0,3.0,13266.0,2839.5,2.0,3000.0,0.0,204.0,0.0,0.0,0.0,0.0,3000.0,619.0,592.0,204.2
velocity_+3000,0.45283250001375563,24630.0,330.42,686.1,19.38,558.0,202.0,1.0,1.0,3.0,15038.0,2909.3,2.0,3000.0,0.0,202.0,0.0,0.0,0.0,0.0,3000.0,586.0,558.0,202.8
velocity_+3000,0.46278410000377335,24640.0,1.67,717.34,19.37,598.0,194.0,1.0,1.0,3.0,76.0,2883.7,2.0,3000.0,0.0,194.0,0.0,0.0,0.0,0.0,3000.0,600.0,598.0,194.4
velocity_+3000,0.4736733000027016,24651.0,30.43,746.1,19.38,655.0,191.0,1.0,1.0,3.0,1385.0,2803.2,2.0,3000.0,0.0,191.0,0.0,0.0,0.0,0.0,3000.0,642.0,655.0,191.1
velocity_+3000,0.483702199999243,24661.0,45.55,761.22,19.4,613.0,213.0,1.0,1.0,3.0,2073.0,2785.3,2.0,3000.0,0.0,213.0,0.0,0.0,0.0,0.0,3000.0,652.0,613.0,213.1
